Productos,CAcopios,Clientes,Tiempo,AC
Queso duro,Nueva granada,Barranquilla,8,0.0
Queso duro,Nueva granada,Barranquilla,9,0.0
Queso duro,Nueva granada,Barranquilla,10,0.0
Queso duro,Nueva granada,Barranquilla,11,0.0
Queso duro,Nueva granada,Barranquilla,12,0.0
Queso duro,Nueva granada,Bogotá,1,0.0
Queso duro,Nueva granada,Bogotá,2,0.0
Queso duro,Nueva granada,Bogotá,3,0.0
Queso duro,Nueva granada,Bogotá,4,0.0
Queso duro,Nueva granada,Bogotá,5,0.0
Queso duro,Nueva granada,Bogotá,6,0.0
Queso duro,Nueva granada,Bogotá,7,0.0
Queso duro,Nueva granada,Bogotá,8,0.0
Queso duro,Nueva granada,Bogotá,9,0.0
Queso duro,Nueva granada,Bogotá,10,0.0
Queso duro,Nueva granada,Bogotá,11,0.0
Queso duro,Nueva granada,Bogotá,12,0.0
Queso duro,Nueva granada,Bucaramanga,1,0.0
Queso duro,Nueva granada,Bucaramanga,2,0.0
Queso duro,Nueva granada,Bucaramanga,3,0.0
Queso duro,Nueva granada,Bucaramanga,4,0.0
Queso duro,Nueva granada,Bucaramanga,5,0.0
Queso duro,Nueva granada,Bucaramanga,6,0.0
Queso duro,Nueva granada,Bucaramanga,7,0.0
Queso duro,Nueva granada,Bucaramanga,8,0.0
Queso duro,Nueva granada,Bucaramanga,9,0.0
Queso duro,Nueva granada,Bucaramanga,10,0.0
Queso duro,Nueva granada,Bucaramanga,11,0.0
Queso duro,Nueva granada,Bucaramanga,12,0.0
Queso duro,Nueva granada,Cartagena,1,0.0
Queso duro,Nueva granada,Cartagena,2,0.0
Queso duro,Nueva granada,Cartagena,3,0.0
Queso duro,Nueva granada,Cartagena,4,0.0
Queso duro,Nueva granada,Cartagena,5,0.0
Queso duro,Nueva granada,Cartagena,6,0.0
Queso duro,Nueva granada,Cartagena,7,0.0
Queso duro,Nueva granada,Cartagena,8,0.0
Queso duro,Nueva granada,Cartagena,9,0.0
Queso duro,Nueva granada,Cartagena,10,0.0
Queso duro,Nueva granada,Cartagena,11,0.0
Queso duro,Nueva granada,Cartagena,12,0.0
Queso duro,Nueva granada,Cali,1,0.0
Queso duro,Nueva granada,Cali,2,0.0
Queso duro,Nueva granada,Cali,3,0.0
Queso duro,Nueva granada,Cali,4,0.0
Queso duro,Nueva granada,Cali,5,0.0
Queso duro,Nueva granada,Cali,6,0.0
Queso duro,Nueva granada,Cali,7,0.0
Queso duro,Nueva granada,Cali,8,0.0
Queso duro,Nueva granada,Cali,9,0.0
Queso duro,Nueva granada,Cali,10,0.0
Queso duro,Nueva granada,Cali,11,0.0
Queso duro,Nueva granada,Cali,12,0.0
Queso duro,Nueva granada,Cúcuta,1,0.0
Queso duro,Nueva granada,Cúcuta,2,0.0
Queso duro,Nueva granada,Cúcuta,3,35280.0
Queso duro,Nueva granada,Cúcuta,4,34433.0
Queso duro,Nueva granada,Cúcuta,5,34884.0
Queso duro,Nueva granada,Cúcuta,6,34026.0
Queso duro,Nueva granada,Cúcuta,7,33949.0
Queso duro,Nueva granada,Cúcuta,8,35280.0
Queso duro,Nueva granada,Cúcuta,9,35280.0
Queso duro,Nueva granada,Cúcuta,10,35280.0
Queso duro,Nueva granada,Cúcuta,11,35280.0
Queso duro,Nueva granada,Cúcuta,12,35280.0
Queso duro,Nueva granada,Medellín,1,0.0
Queso duro,Nueva granada,Medellín,2,0.0
Queso duro,Nueva granada,Medellín,3,0.0
Queso duro,Nueva granada,Medellín,4,0.0
Queso duro,Nueva granada,Medellín,5,0.0
Queso duro,Nueva granada,Medellín,6,0.0
Queso duro,Nueva granada,Medellín,7,0.0
Queso duro,Nueva granada,Medellín,8,0.0
Queso duro,Nueva granada,Medellín,9,0.0
Queso duro,Nueva granada,Medellín,10,0.0
Queso duro,Nueva granada,Medellín,11,0.0
Queso duro,Nueva granada,Medellín,12,0.0
Queso duro,Nueva granada,Valledupar,1,0.0
Queso duro,Nueva granada,Valledupar,2,0.0
Queso duro,Nueva granada,Valledupar,3,0.0
Queso duro,Nueva granada,Valledupar,4,0.0
Queso duro,Nueva granada,Valledupar,5,0.0
Queso duro,Nueva granada,Valledupar,6,0.0
Queso duro,Nueva granada,Valledupar,7,0.0
Queso duro,Nueva granada,Valledupar,8,0.0
Queso duro,Nueva granada,Valledupar,9,0.0
Queso duro,Nueva granada,Valledupar,10,0.0
Queso duro,Nueva granada,Valledupar,11,0.0
Queso duro,Nueva granada,Valledupar,12,0.0
Queso blando,Guamal,Santa Marta,1,0.0
Queso blando,Guamal,Santa Marta,2,0.0
Queso blando,Guamal,Santa Marta,3,0.0
Queso blando,Guamal,Santa Marta,4,0.0
Queso blando,Guamal,Santa Marta,5,0.0
Queso blando,Guamal,Santa Marta,6,0.0
Queso blando,Guamal,Santa Marta,7,0.0
Queso blando,Guamal,Santa Marta,8,0.0
Queso blando,Guamal,Santa Marta,9,0.0
Queso blando,Guamal,Santa Marta,10,0.0
Queso blando,Guamal,Santa Marta,11,0.0
Queso blando,Guamal,Santa Marta,12,0.0
Queso blando,Guamal,Riohacha,1,0.0
Queso blando,Guamal,Riohacha,2,0.0
Queso blando,Guamal,Riohacha,3,0.0
Queso blando,Guamal,Riohacha,4,0.0
Queso blando,Guamal,Riohacha,5,0.0
Queso blando,Guamal,Riohacha,6,0.0
Queso blando,Guamal,Riohacha,7,0.0
Queso blando,Guamal,Riohacha,8,0.0
Queso blando,Guamal,Riohacha,9,0.0
Queso blando,Guamal,Riohacha,10,0.0
Queso blando,Guamal,Riohacha,11,0.0
Queso blando,Guamal,Riohacha,12,0.0
Queso blando,Guamal,Monteria,1,0.0
Queso blando,Guamal,Monteria,2,0.0
Queso blando,Guamal,Monteria,3,0.0
Queso blando,Guamal,Monteria,4,0.0
Queso blando,Guamal,Monteria,5,0.0
Queso blando,Guamal,Monteria,6,0.0
Queso blando,Guamal,Monteria,7,0.0
Queso blando,Guamal,Monteria,8,0.0
Queso blando,Guamal,Monteria,9,0.0
Queso blando,Guamal,Monteria,10,0.0
Queso blando,Guamal,Monteria,11,0.0
Queso blando,Guamal,Monteria,12,0.0
Queso blando,Guamal,Barranquilla,1,0.0
Queso blando,Guamal,Barranquilla,2,0.0
Queso blando,Guamal,Barranquilla,3,0.0
Queso blando,Guamal,Barranquilla,4,0.0
Queso blando,Guamal,Barranquilla,5,0.0
Queso blando,Guamal,Barranquilla,6,0.0
Queso blando,Guamal,Barranquilla,7,0.0
Queso blando,Guamal,Barranquilla,8,0.0
Queso blando,Guamal,Barranquilla,9,0.0
Queso blando,Guamal,Barranquilla,10,0.0
Queso blando,Guamal,Barranquilla,11,0.0
Queso blando,Guamal,Barranquilla,12,0.0
Queso blando,Guamal,Bogotá,1,0.0
Queso blando,Guamal,Bogotá,2,0.0
Queso blando,Guamal,Bogotá,3,0.0
Queso blando,Guamal,Bogotá,4,0.0
Queso blando,Guamal,Bogotá,5,0.0
Queso blando,Guamal,Bogotá,6,0.0
Queso blando,Guamal,Bogotá,7,0.0
Queso blando,Guamal,Bogotá,8,0.0
Queso blando,Guamal,Bogotá,9,0.0
Queso blando,Guamal,Bogotá,10,0.0
Queso blando,Guamal,Bogotá,11,0.0
Queso blando,Guamal,Bogotá,12,0.0
Queso blando,Guamal,Bucaramanga,1,0.0
Queso blando,Guamal,Bucaramanga,2,0.0
Queso blando,Guamal,Bucaramanga,3,0.0
Queso blando,Guamal,Bucaramanga,4,0.0
Queso blando,Guamal,Bucaramanga,5,0.0
Queso blando,Guamal,Bucaramanga,6,0.0
Queso blando,Guamal,Bucaramanga,7,0.0
Queso blando,Guamal,Bucaramanga,8,0.0
Queso blando,Guamal,Bucaramanga,9,0.0
Queso blando,Guamal,Bucaramanga,10,0.0
Queso blando,Guamal,Bucaramanga,11,0.0
Queso blando,Guamal,Bucaramanga,12,0.0
Queso blando,Guamal,Cartagena,1,0.0
Queso blando,Guamal,Cartagena,2,0.0
Queso blando,Guamal,Cartagena,3,0.0
Queso blando,Guamal,Cartagena,4,0.0
Queso blando,Guamal,Cartagena,5,0.0
Queso blando,Guamal,Cartagena,6,0.0
Queso blando,Guamal,Cartagena,7,0.0
Queso blando,Guamal,Cartagena,8,0.0
Queso blando,Guamal,Cartagena,9,0.0
Queso blando,Guamal,Cartagena,10,0.0
Queso blando,Guamal,Cartagena,11,0.0
Queso blando,Guamal,Cartagena,12,0.0
Queso blando,Guamal,Cali,1,0.0
Queso blando,Guamal,Cali,2,0.0
Queso blando,Guamal,Cali,3,0.0
Queso blando,Guamal,Cali,4,0.0
Queso blando,Guamal,Cali,5,0.0
Queso blando,Guamal,Cali,6,0.0
Queso blando,Guamal,Cali,7,0.0
Queso blando,Guamal,Cali,8,0.0
Queso blando,Guamal,Cali,9,0.0
Queso blando,Guamal,Cali,10,0.0
Queso blando,Guamal,Cali,11,0.0
Queso blando,Guamal,Cali,12,0.0
Queso blando,Guamal,Cúcuta,1,0.0
Queso blando,Guamal,Cúcuta,2,0.0
Queso blando,Guamal,Cúcuta,3,0.0
Queso blando,Guamal,Cúcuta,4,0.0
Queso blando,Guamal,Cúcuta,5,0.0
Queso blando,Guamal,Cúcuta,6,0.0
Queso blando,Guamal,Cúcuta,7,0.0
Queso blando,Guamal,Cúcuta,8,0.0
Queso blando,Guamal,Cúcuta,9,0.0
Queso blando,Guamal,Cúcuta,10,0.0
Queso blando,Guamal,Cúcuta,11,0.0
Queso blando,Guamal,Cúcuta,12,0.0
Queso blando,Guamal,Medellín,1,0.0
Queso blando,Guamal,Medellín,2,0.0
Queso blando,Guamal,Medellín,3,0.0
Queso blando,Guamal,Medellín,4,0.0
Queso blando,Guamal,Medellín,5,0.0
Queso blando,Guamal,Medellín,6,0.0
Queso blando,Guamal,Medellín,7,0.0
Queso blando,Guamal,Medellín,8,0.0
Queso blando,Guamal,Medellín,9,0.0
Queso blando,Guamal,Medellín,10,0.0
Queso blando,Guamal,Medellín,11,0.0
Queso blando,Guamal,Medellín,12,0.0
Queso blando,Guamal,Valledupar,1,0.0
Queso blando,Guamal,Valledupar,2,37356.0
Queso blando,Guamal,Valledupar,3,8625.0
Queso blando,Guamal,Valledupar,4,8625.0
Queso blando,Guamal,Valledupar,5,8625.0
Queso blando,Guamal,Valledupar,6,8625.0
Queso blando,Guamal,Valledupar,7,8625.0
Queso blando,Guamal,Valledupar,8,8625.0
Queso blando,Guamal,Valledupar,9,8625.0
Queso blando,Guamal,Valledupar,10,8625.0
Queso blando,Guamal,Valledupar,11,8625.0
Queso blando,Guamal,Valledupar,12,8625.0
Queso blando,Pivijay,Santa Marta,1,0.0
Queso blando,Pivijay,Santa Marta,2,0.0
Queso blando,Pivijay,Santa Marta,3,0.0
Queso blando,Pivijay,Santa Marta,4,0.0
Queso blando,Pivijay,Santa Marta,5,0.0
Queso blando,Pivijay,Santa Marta,6,0.0
Queso blando,Pivijay,Santa Marta,7,0.0
Queso blando,Pivijay,Santa Marta,8,0.0
Queso blando,Pivijay,Santa Marta,9,0.0
Queso blando,Pivijay,Santa Marta,10,0.0
Queso blando,Pivijay,Santa Marta,11,0.0
Queso blando,Pivijay,Santa Marta,12,0.0
Queso blando,Pivijay,Riohacha,1,0.0
Queso blando,Pivijay,Riohacha,2,0.0
Queso blando,Pivijay,Riohacha,3,0.0
Queso blando,Pivijay,Riohacha,4,0.0
Queso blando,Pivijay,Riohacha,5,0.0
Queso blando,Pivijay,Riohacha,6,0.0
Queso blando,Pivijay,Riohacha,7,0.0
Queso blando,Pivijay,Riohacha,8,0.0
Queso blando,Pivijay,Riohacha,9,0.0
Queso blando,Pivijay,Riohacha,10,0.0
Queso blando,Pivijay,Riohacha,11,0.0
Queso blando,Pivijay,Riohacha,12,0.0
Queso blando,Pivijay,Monteria,1,0.0
Queso blando,Pivijay,Monteria,2,0.0
Queso blando,Pivijay,Monteria,3,0.0
Queso blando,Pivijay,Monteria,4,0.0
Queso blando,Pivijay,Monteria,5,0.0
Queso blando,Pivijay,Monteria,6,0.0
Queso blando,Pivijay,Monteria,7,0.0
Queso blando,Pivijay,Monteria,8,0.0
Queso blando,Pivijay,Monteria,9,0.0
Queso blando,Pivijay,Monteria,10,0.0
Queso blando,Pivijay,Monteria,11,0.0
Queso blando,Pivijay,Monteria,12,0.0
Queso blando,Pivijay,Barranquilla,1,0.0
Queso blando,Pivijay,Barranquilla,2,0.0
Queso blando,Pivijay,Barranquilla,3,0.0
Queso blando,Pivijay,Barranquilla,4,0.0
Queso blando,Pivijay,Barranquilla,5,0.0
