P;I;T;CostoProduccion
2;16;3;18632
2;16;4;18679
2;16;5;18767
2;16;6;18722
2;16;7;18747
2;16;8;18733
2;16;9;18929
2;16;10;19281
2;16;11;19725
2;16;12;20097
2;17;1;18344
2;17;2;18403
2;17;3;18632
2;17;4;18679
2;17;5;18767
2;17;6;18722
2;17;7;18747
2;17;8;18733
2;17;9;18929
2;17;10;19281
2;17;11;19725
2;17;12;20097
2;18;1;18344
2;18;2;18403
2;18;3;18632
2;18;4;18679
2;18;5;18767
2;18;6;18722
2;18;7;18747
2;18;8;18733
2;18;9;18929
2;18;10;19281
2;18;11;19725
2;18;12;20097
2;19;1;18344
2;19;2;18403
2;19;3;18632
2;19;4;18679
2;19;5;18767
2;19;6;18722
2;19;7;18747
2;19;8;18733
2;19;9;18929
2;19;10;19281
2;19;11;19725
2;19;12;20097
2;20;1;18344
2;20;2;18403
2;20;3;18632
2;20;4;18679
2;20;5;18767
2;20;6;18722
2;20;7;18747
2;20;8;18733
2;20;9;18929
2;20;10;19281
2;20;11;19725
2;20;12;20097
2;21;1;18344
2;21;2;18403
2;21;3;18632
2;21;4;18679
2;21;5;18767
2;21;6;18722
2;21;7;18747
2;21;8;18733
2;21;9;18929
2;21;10;19281
2;21;11;19725
2;21;12;20097
2;22;1;18147
2;22;2;18180
2;22;3;18490
2;22;4;18638
2;22;5;18554
2;22;6;18542
2;22;7;18542
2;22;8;18597
2;22;9;18880
2;22;10;19161
2;22;11;19526
2;22;12;19840
2;23;1;18147
2;23;2;18180
2;23;3;18490
2;23;4;18638
2;23;5;18554
2;23;6;18542
2;23;7;18542
2;23;8;18597
2;23;9;18880
2;23;10;19161
2;23;11;19526
2;23;12;19840
2;24;1;18147
2;24;2;18180
2;24;3;18490
2;24;4;18638
2;24;5;18554
2;24;6;18542
2;24;7;18542
2;24;8;18597
2;24;9;18880
2;24;10;19161
2;24;11;19526
2;24;12;19840
